A̱o,Mes,Personal,Claro,Movistar,Total
2022,10,60855,117430,119716,298001
2022,9,63315,131071,115906,310292
2022,8,68659,132676,115879,317214
2022,7,74674,111849,111521,298044
2022,6,77276,120505,115937,313718
2022,5,78284,120009,120463,318756
2022,4,81377,119297,116799,317473
2022,3,89455,121763,129339,340557
2022,2,71090,98497,95792,265379
2022,1,73717,88856,96240,258813
2021,12,75534,116284,102538,294356
2021,11,81311,126052,104985,312348
2021,10,59953,109684,94402,264039
2021,9,64926,114432,102903,282261
2021,8,51784,95638,105276,252698
2021,7,60070,90200,86468,236738
2021,6,60496,76371,69162,206029
2021,5,54806,69968,64470,189244
2021,4,59652,92317,80413,232382
2021,3,48500,90372,88262,227134
2021,2,38849,70465,67414,176728
2021,1,50281,59515,60438,170234
2020,12,64018,52124,85248,201390
2020,11,66673,67793,101097,235563
2020,10,74301,64224,103392,241917
2020,9,104995,77443,114069,296507
2020,8,104601,78804,112460,295865
2020,7,76580,86328,90651,253559
2020,6,81723,86023,81860,249606
2020,5,52346,72532,61038,185916
2020,4,40750,52115,38307,131172
2020,3,93260,91794,74891,259945
2020,2,105456,105933,99332,310721
2020,1,105975,119695,93691,319361
2019,12,118926,115255,81623,315804
2019,11,122121,100593,90280,312994
2019,10,179629,95397,102656,377682
2019,9,164917,76641,111005,352563
2019,8,112291,86058,124810,323159
2019,7,103843,82485,143327,329655
2019,6,88400,67440,129752,285592
2019,5,106434,87637,137443,331514
2019,4,92931,76450,102819,272200
2019,3,76189,69313,73611,219113
2019,2,76092,71701,66692,214485
2019,1,71114,72971,59687,203772
2018,12,57220,57390,55891,170501
2018,11,60961,59247,54266,174474
2018,10,63340,59447,48759,171546
2018,9,58889,51444,43296,153629
2018,8,55234,51724,42499,149457
2018,7,51810,40638,39969,132417
2018,6,54088,38957,38406,131451
2018,5,52440,43353,43987,139780
2018,4,36733,39355,40674,116762
2018,3,34699,42155,38111,114965
2018,2,27757,32373,31010,91140
2018,1,33082,37392,35985,106459
2017,12,34212,31605,36796,102613
2017,11,38124,32483,43126,113733
2017,10,35106,31308,44360,110774
2017,9,29727,29254,45112,104093
2017,8,32438,33573,48605,114616
2017,7,28801,33225,48663,110689
2017,6,27878,30152,46635,104665
2017,5,26815,37117,46360,110292
2017,4,22779,35362,42091,100232
2017,3,35054,44484,45757,125295
2017,2,28147,36141,33437,97725
2017,1,40045,45136,32769,117950
2016,12,49056,49418,41295,139769
2016,11,60749,59173,53090,173012
2016,10,63646,66547,48557,178750
2016,9,66049,66661,44350,177060
2016,8,61158,64310,55470,180938
2016,7,52424,56027,45767,154218
2016,6,52415,56339,45423,154177
2016,5,47523,57266,43505,148294
2016,4,43425,54620,45207,143252
2016,3,40567,46820,40978,128365
2016,2,34206,43156,29873,107235
2016,1,33697,41738,27419,102854
2015,12,39724,49628,27740,117092
2015,11,35672,49509,31906,117087
2015,10,36550,62394,28987,127931
2015,9,34797,66242,23639,124678
2015,8,32414,56791,17030,106235
2015,7,38991,64814,18966,122771
2015,6,43877,67324,16170,127371
2015,5,29633,58549,12651,100833
2015,4,30317,59543,13426,103286
2015,3,27141,45272,11898,84311
2015,2,23254,40913,9631,73798
2015,1,32142,42240,10161,84543
2014,12,34862,41532,13603,89997
2014,11,25707,35730,12571,74008
2014,10,39893,41998,15247,97138
2014,9,32561,41094,15167,88822
2014,8,27979,39750,12412,80141
2014,7,28078,41544,15936,85558
2014,6,24978,38601,10941,74520
2014,5,22177,27152,9035,58364
2014,4,20250,21888,5750,47888
2014,3,14253,21314,5635,41202
2014,2,11052,16992,4948,32992
2014,1,10790,14575,4724,30089
2013,12,13106,14760,5274,33140
2013,11,11438,15022,6625,33085
2013,10,12349,15240,6799,34388
2013,9,11604,14897,6972,33473
2013,8,7539,13439,7351,28329
2013,7,7831,12628,6420,26879
2013,6,6376,9496,5936,21808
2013,5,8169,12169,8227,28565
2013,4,8107,11615,7560,27282
2013,3,7424,9224,7368,24016
2013,2,6277,8016,5836,20129
2013,1,9208,11356,6720,27284
2012,12,8612,10740,7165,26517
2012,11,10914,11456,7671,30041
2012,10,13126,13664,8452,35242
2012,9,11975,12780,8232,32987
2012,8,12225,10677,10017,32919
2012,7,13494,9651,10173,33318
2012,6,10472,10153,9523,30148
2012,5,10770,15663,7890,34323
2012,4,4883,2188,937,8008
2012,3,40,72,41,153
